Date,NewCases,TotalCases,Deaths,Tests
03-04,0,0,0,181
03-05,1,1,0,0
03-06,0,1,0,0
03-07,1,2,0,0
03-08,1,3,0,0
03-09,4,7,0,0
03-10,3,10,0,0
03-11,3,13,0,645
03-12,3,16,0,848
03-13,8,24,0,924
03-14,14,38,0,1017
03-15,13,[c]51,0,1476
03-16,11,62,0,2405
03-17,23,85,0,2911
03-18,31,116,0,3070
03-19,34,150,0,4832
03-20,52,202,0,6438
03-21,38,240,0,7425
03-22,34,274,0,9315
03-23,128,402,0,12815
03-24,152,554,0,15529
03-25,155,709,0,0
03-26,218,927,0,20471
03-27,243,1170,1,0
03-28,17,1187,1,31963
03-29,93,1280,2,35593
03-30,0,1326,3,38409
03-31,[d]27,1353,5,41072
04-01,27,1380,5,44292
04-02,82,1462,5,47965
04-03,43,1505,7,50361
04-04,80,1585,9,53937
04-05,70,1655,11,56873
04-06,31,1686,12,58098
04-07,63,1749,13,0
04-08,96,1845,18,63776
04-09,0,1934,18,63776
04-10,0,2003,24,73028
04-11,0,2028,25,75053
04-12,145,2173,25,80085
04-13,0,2272,27,83663
04-14,0,2415,27,87022
04-15,0,2506,34,90515
04-16,0,2605,48,95060
04-17,0,2783,50,100827
04-18,219,3034,52,108021
04-19,0,3158,54,114711
04-20,142,3300,58,121510
04-21,0,3465,58,126937
04-22,0,3635,65,133774
04-23,318,3953,75,143570
04-24,267,4220,79,152390
04-25,141,4361,86,161004
04-26,185,4546,87,168643
04-27,0,4793,90,178470
04-28,0,4996,93,185497
